path_index,time_index,price
0,0,100.00000000000004
1,0,100.00000000000004
2,0,100.00000000000004
3,0,100.00000000000004
4,0,100.00000000000004
5,0,100.00000000000004
6,0,100.00000000000004
7,0,100.00000000000004
8,0,100.00000000000004
9,0,100.00000000000004
10,0,100.00000000000004
11,0,100.00000000000004
12,0,100.00000000000004
13,0,100.00000000000004
14,0,100.00000000000004
15,0,100.00000000000004
16,0,100.00000000000004
17,0,100.00000000000004
18,0,100.00000000000004
19,0,100.00000000000004
20,0,100.00000000000004
21,0,100.00000000000004
22,0,100.00000000000004
23,0,100.00000000000004
24,0,100.00000000000004
0,0.002,99.70337218171157
1,0.002,99.69156016603297
2,0.002,100.13973823832092
3,0.002,100.24362239529795
4,0.002,99.97236527480746
5,0.002,98.97958654498811
6,0.002,100.40073132306313
7,0.002,98.80431383528153
8,0.002,99.0912374777153
9,0.002,100.76941049175656
10,0.002,100.5198208586473
11,0.002,101.05391859382225
12,0.002,98.87018652541035
13,0.002,99.47731248279892
14,0.002,100.29266690997459
15,0.002,99.59145909556145
16,0.002,99.83270834508161
17,0.002,100.68980893225194
18,0.002,99.90540631793162
19,0.002,100.17781078461782
20,0.002,98.86082811305623
21,0.002,99.23470844623716
22,0.002,99.62095345609882
23,0.002,98.86955561958182
24,0.002,100.60124734740677
0,0.004,99.67275050272825
1,0.004,100.54605377272331
2,0.004,100.09798344036611
3,0.004,99.68778953638703
4,0.004,100.03495705114351
5,0.004,99.52617251886316
6,0.004,100.51851466444475
7,0.004,98.77850238876086
8,0.004,98.85310520980747
9,0.004,102.31372927215503
10,0.004,101.0922359918503
11,0.004,102.49767040618119
12,0.004,100.99029165595523
13,0.004,99.70504253854884
14,0.004,100.02724719911178
15,0.004,98.55363524893929
16,0.004,99.67618141571721
17,0.004,100.449001513831
18,0.004,99.31471434980347
19,0.004,100.6425757918955
20,0.004,99.67743420501093
21,0.004,99.81324682299149
22,0.004,99.21797468858279
23,0.004,98.44349627712988
24,0.004,100.86421782290707
0,0.006,99.95880136955049
1,0.006,100.80775951374092
2,0.006,100.19998765945252
3,0.006,99.77331080414966
4,0.006,101.54467009825602
5,0.006,99.3569400123383
6,0.006,99.6534895102384
7,0.006,99.40126666742839
8,0.006,98.78648337068977
9,0.006,103.31232539878157
10,0.006,101.10381466393393
11,0.006,101.20909010169164
12,0.006,100.67268884669825
13,0.006,99.18686745683002
14,0.006,99.18227412903512
15,0.006,98.83977176121786
16,0.006,99.93461793402415
17,0.006,100.06570857572801
18,0.006,99.38484873233963
19,0.006,101.61814691206776
20,0.006,100.98762438180853
21,0.006,99.79652224539001
22,0.006,98.64577465808199
23,0.006,99.28982019798617
24,0.006,100.72294635439651
0,0.008,99.30561839734165
1,0.008,101.1583875530902
2,0.008,99.57595337589872
3,0.008,99.36545694161782
4,0.008,101.91761960515474
5,0.008,99.77442170608028
6,0.008,99.55053716962438
7,0.008,99.76997383663036
8,0.008,98.62537435184764
9,0.008,102.3291099288437
10,0.008,102.13849450215577
11,0.008,102.32927552208123
12,0.008,100.75582495340545
13,0.008,99.59162078920903
14,0.008,98.39889784270483
15,0.008,98.33566941495272
16,0.008,100.87955426887854
17,0.008,99.91889513576587
18,0.008,100.04144064519348
19,0.008,100.5016645137221
20,0.008,100.95797202331953
21,0.008,100.57726290094905
22,0.008,99.13239824368507
23,0.008,100.25086208569695
24,0.008,100.21087918600956
0,0.01,99.96515500029825
1,0.01,99.31514554066183
2,0.01,101.0025654336068
3,0.01,99.70146808488128
4,0.01,101.77127540694066
5,0.01,100.43548889653582
6,0.01,98.87656010650942
7,0.01,99.78364145400617
8,0.01,98.90266059036398
9,0.01,101.75377599208424
10,0.01,101.90291817127908
11,0.01,102.36130392119125
12,0.01,101.58374435302136
13,0.01,100.594013587089
14,0.01,99.23828585510124
15,0.01,98.97938263936736
16,0.01,101.37389012235755
17,0.01,98.55744554635673
18,0.01,101.19168969408902
19,0.01,101.96311447255296
20,0.01,100.76155301098775
21,0.01,100.31305829811794
22,0.01,99.3506956489667
23,0.01,101.45469134845888
24,0.01,99.5189625419998
0,0.012,100.04351922633963
1,0.012,98.45926141181506
2,0.012,101.88042038587493
3,0.012,99.0910689955967
4,0.012,102.17379817645481
5,0.012,100.23778644201083
6,0.012,99.57087133364695
7,0.012,99.16345157647713
8,0.012,98.42826769863993
9,0.012,104.18768435233268
10,0.012,102.90078828738451
11,0.012,101.01721042481992
12,0.012,101.66920708049757
13,0.012,100.85443689831675
14,0.012,99.67742540791112
15,0.012,98.23811971467887
16,0.012,101.84568449037243
17,0.012,99.38603321262298
18,0.012,102.25884273308924
19,0.012,103.3231177733941
20,0.012,100.14284406697456
21,0.012,99.4225214535486
22,0.012,99.4964545906962
23,0.012,101.46415295990464
24,0.012,99.44365843141287
0,0.014,100.14896821245934
1,0.014,98.47762027451442
2,0.014,101.19156638776833
3,0.014,99.62955888728403
4,0.014,102.71309999651346
5,0.014,100.53906109442924
6,0.014,98.71963610776248
7,0.014,98.55442808912726
8,0.014,98.82434746196527
9,0.014,103.55416563989588
10,0.014,102.45405881491793
11,0.014,101.33689519014428
12,0.014,101.79113264058923
13,0.014,101.23716158613124
14,0.014,99.740221144323
15,0.014,98.53612270779918
16,0.014,101.17239003332803
17,0.014,100.31103588881551
18,0.014,101.56697704156161
19,0.014,104.03340502781272
20,0.014,100.69950216678758
21,0.014,98.03662232911354
22,0.014,99.44464354677875
23,0.014,100.98797105643068
24,0.014,98.84769719856764
0,0.016,98.98871477324941
1,0.016,98.1999368232127
2,0.016,100.6303125665441
3,0.016,99.5672637553447
4,0.016,102.86256047860245
5,0.016,99.84798688915058
6,0.016,99.11603555539104
7,0.016,98.25940341084036
8,0.016,99.52244317315227
9,0.016,104.22088310079019
10,0.016,102.43522025516545
11,0.016,102.38690387537893
12,0.016,101.02254279694213
13,0.016,101.9403848832014
14,0.016,98.99671649213191
15,0.016,99.54395598292447
16,0.016,100.17697815730234
17,0.016,101.3106602526524
